,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
67,avilemi01,2016,DET,Mike,Aviles,205,70,R,AL,68.0,35.0,167.0,1.0,6.0,2.0,17.0,5.0,1.0,2.0,9.0,27.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,10.0,9.0,6.0,8.0,1.0,32.0,39.0,1.0,2008-05-29,USA,of,"['2b', 'rf', 'of']",0.20958083832335328,0.25842696629213485,28.0,0.2694610778443114,0.5278880441364462,0.3143712574850299,0.02127659574468085,0.13821138211382114,0.045112781954887216,0.03225806451612903,0.5212,0.28730111864174246
987,parkeja03,2016,SFN,Jarrett,Parker,210,76,L,NL,63.0,30.0,127.0,5.0,14.0,0.0,22.0,3.0,1.0,1.0,19.0,44.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,21.0,37.0,4.0,2015-06-13,USA,of,"['lf', 'rf', 'of']",0.23622047244094488,0.3576158940397351,21.0,0.3937007874015748,0.7513166814413099,0.35433070866141736,0.10638297872340426,0.17886178861788618,0.10526315789473684,0.0,0.3772,0.2809531327061161
984,paredji01,2016,PHI,Jimmy,Paredes,200,75,B,NL,76.0,31.0,143.0,4.0,17.0,0.0,13.0,7.0,0.0,1.0,5.0,44.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,19.0,36.0,0.0,2011-08-01,D.R.,of,"['lf', 'rf', 'of']",0.21678321678321677,0.24161073825503357,20.0,0.34965034965034963,0.5912610879053832,0.32517482517482516,0.0851063829787234,0.10569105691056911,0.12781954887218044,0.0,0.4348000000000001,0.2799206806995025
277,collity01,2016,DET,Tyler,Collins,215,71,L,AL,56.0,32.0,136.0,4.0,15.0,1.0,14.0,2.0,3.0,1.0,13.0,38.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,8.0,50.0,1.0,2014-03-31,USA,of,"['lf', 'cf', 'of']",0.23529411764705882,0.304635761589404,23.0,0.38235294117647056,0.6869887027658745,0.35294117647058826,0.0851063829787234,0.11382113821138211,0.11278195488721804,0.016129032258064516,0.4096000000000001,0.278847358896528
185,byrdma01,2016,CLE,Marlon,Byrd,245,72,R,AL,34.0,31.0,115.0,5.0,19.0,0.0,11.0,6.0,0.0,0.0,11.0,38.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,21.0,31.0,1.0,2002-09-08,USA,of,"['lf', 'rf', 'of']",0.26956521739130435,0.32558139534883723,20.0,0.45217391304347826,0.7777553083923154,0.4043478260869565,0.10638297872340426,0.08943089430894309,0.14285714285714285,0.0,0.334,0.24816829322013323
1364,tolesan01,2016,LAN,Andrew,Toles,185,70,L,NL,48.0,33.0,105.0,3.0,16.0,1.0,19.0,9.0,1.0,1.0,8.0,25.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,8.0,32.0,0.0,2016-07-08,USA,of,"['lf', 'of']",0.3142857142857143,0.3652173913043478,20.0,0.5047619047619047,0.8699792960662526,0.4714285714285714,0.06382978723404255,0.15447154471544716,0.12030075187969924,0.016129032258064516,0.29800000000000004,0.24619558687971582
29,almoral01,2016,CHN,Albert,Almora,190,74,R,NL,47.0,31.0,112.0,3.0,14.0,0.0,14.0,9.0,1.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,2.0,41.0,0.0,2016-06-07,USA,of,"['cf', 'of']",0.2767857142857143,0.3076923076923077,18.0,0.45535714285714285,0.7630494505494505,0.41517857142857145,0.06382978723404255,0.11382113821138211,0.10526315789473684,0.0,0.32320000000000004,0.2256235460212545
1450,willima08,2016,SFN,Mac,Williamson,240,76,R,NL,54.0,25.0,112.0,6.0,15.0,0.0,14.0,3.0,0.0,1.0,13.0,35.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,23.0,36.0,1.0,2015-09-23,USA,of,"['lf', 'rf', 'of']",0.22321428571428573,0.31496062992125984,16.0,0.4107142857142857,0.7256749156355455,0.3348214285714286,0.1276595744680851,0.11382113821138211,0.11278195488721804,0.0,0.32320000000000004,0.2227119798718384
109,beninan01,2016,BOS,Andrew,Benintendi,170,70,L,AL,34.0,31.0,105.0,2.0,14.0,1.0,16.0,11.0,1.0,0.0,10.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,32.0,0.0,2016-08-02,USA,of,"['lf', 'of']",0.29523809523809524,0.358974358974359,17.0,0.47619047619047616,0.8351648351648351,0.4428571428571429,0.0425531914893617,0.13008130081300814,0.10526315789473684,0.016129032258064516,0.29800000000000004,0.2195913799430696
272,coghlch01,2016,CHN,Chris,Coghlan,195,72,L,NL,48.0,26.0,103.0,1.0,16.0,1.0,21.0,7.0,2.0,0.0,22.0,26.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,25.0,0.0,6.0,31.0,0.0,2009-05-08,USA,of,"['lf', 'of']",0.2524271844660194,0.390625,16.0,0.3883495145631068,0.7789745145631068,0.3786407766990291,0.02127659574468085,0.17073170731707318,0.12030075187969924,0.016129032258064516,0.29080000000000006,0.2056185336216975
