,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,BFPG,SPG,IP,ERA,ERARecip,WHIP,WHIPRecip,ERA_Scaled,WHIP_Scaled,SO_Scaled,SV_Scaled,W_Scaled,Penalty,StarterStars,RelieverStars,StarRating
1409,garcija02,2016,SLN,Jaime,Garcia,215,74,L,NL,10.0,13.0,32.0,30.0,1.0,1.0,0.0,515.0,179.0,89.0,26.0,57.0,150.0,3.0,8.0,7,0.0,741.0,0.0,94.0,7.0,2.0,21.0,23.15,0.93,171.66,4.666200629150647,0.21430711610486888,1.374810672259117,0.7273728813559321,0.01961518417377165,0.06099978545376528,0.528169014084507,0.0,0.45454545454545453,1.0,1.0633294382574985,0.5351604241729915,1.0633294382574985
1281,fiersmi01,2016,HOU,Mike,Fiers,200,74,R,AL,11.0,8.0,31.0,30.0,0.0,0.0,0.0,506.0,187.0,84.0,26.0,42.0,134.0,0.0,17.0,7,0.0,724.0,0.0,89.0,3.0,5.0,6.0,23.35,0.96,168.66,4.482390608324439,0.22309523809523812,1.3577611763310804,0.7365065502183405,0.02049562682215744,0.061924713946161065,0.47183098591549294,0.0,0.5,1.0,1.0542513266838114,0.5824203407683185,1.0542513266838114
1294,finnebr01,2016,CIN,Brandon,Finnegan,200,71,L,NL,10.0,11.0,31.0,31.0,1.0,0.0,0.0,516.0,150.0,76.0,29.0,84.0,145.0,2.0,6.0,4,2.0,734.0,0.0,86.0,5.0,5.0,17.0,23.67,1.0,172.0,3.9767441860465116,0.25146198830409355,1.3604651162790697,0.7350427350427351,0.02333756469094815,0.06177647949799849,0.5105633802816901,0.0,0.45454545454545453,1.0,1.0502228790160912,0.5396594987344012,1.0502228790160912
706,chatwty01,2016,COL,Tyler,Chatwood,185,72,R,NL,12.0,9.0,27.0,27.0,0.0,0.0,0.0,474.0,147.0,68.0,15.0,70.0,117.0,2.0,7.0,5,0.0,669.0,0.0,75.0,2.0,3.0,22.0,24.77,1.0,158.0,3.8734177215189876,0.25816993464052285,1.3734177215189873,0.728110599078341,0.024009603841536612,0.061074491045907946,0.4119718309859155,0.0,0.5454545454545454,1.0,1.0425104713279054,0.6305386403419899,1.0425104713279054
3615,sabatcc01,2016,NYA,CC,Sabathia,300,78,L,AL,9.0,12.0,30.0,30.0,0.0,0.0,0.0,539.0,172.0,78.0,22.0,65.0,152.0,1.0,2.0,9,1.0,768.0,0.0,83.0,5.0,2.0,21.0,25.6,1.0,179.66,3.9073806078147615,0.2559259259259259,1.3191584103306246,0.7580590717299577,0.023784786641929498,0.06410724777012229,0.5352112676056338,0.0,0.4090909090909091,1.0,1.0321942111085947,0.4969829435029609,1.0321942111085947
1302,fistedo01,2016,HOU,Doug,Fister,210,80,L,AL,12.0,13.0,32.0,32.0,0.0,0.0,0.0,541.0,195.0,93.0,24.0,62.0,115.0,1.0,10.0,7,0.0,779.0,0.0,98.0,0.0,3.0,20.0,24.34,1.0,180.33,4.641490600565629,0.21544802867383514,1.425164975323019,0.7016731517509728,0.019729487102758996,0.05839728118997193,0.40492957746478875,0.0,0.5454545454545454,1.0,1.028510891212065,0.6235813137472763,1.028510891212065
819,colomal01,2016,TBA,Alex,Colome,220,74,R,AL,2.0,4.0,57.0,0.0,0.0,0.0,37.0,170.0,43.0,12.0,6.0,15.0,71.0,1.0,1.0,2,0.0,226.0,48.0,12.0,0.0,0.0,5.0,3.96,0.0,56.66,1.9061066007765621,0.5246296296296296,1.0236498411577832,0.9768965517241379,0.05070500927643785,0.08626800523788739,0.25,0.7254901960784313,0.09090909090909091,0.85,0.4061997896099037,0.8103664562765703,1.0228664562765701
2879,nicasju01,2016,PIT,Juan,Nicasio,255,76,R,NL,10.0,7.0,52.0,12.0,0.0,0.0,0.0,354.0,117.0,59.0,15.0,45.0,138.0,3.0,3.0,7,0.0,513.0,9.0,64.0,5.0,7.0,8.0,9.86,0.23,118.0,4.5,0.2222222222222222,1.3728813559322033,0.7283950617283951,0.02040816326530612,0.06110329739021722,0.4859154929577465,0.0,0.45454545454545453,1.0,1.0219724081587245,0.5360569152009779,1.0219724081587245
3988,teherju01,2016,ATL,Julio,Teheran,205,74,R,NL,7.0,10.0,30.0,30.0,1.0,1.0,0.0,564.0,157.0,67.0,22.0,41.0,167.0,2.0,7.0,9,1.0,758.0,0.0,70.0,4.0,1.0,11.0,25.26,1.0,188.0,3.2074468085106385,0.31177446102819234,1.053191489361702,0.9494949494949496,0.02938000166145155,0.08349315944252654,0.5880281690140845,0.0,0.3181818181818182,1.0,1.0190831482998808,0.4310549792857963,1.0190831482998808
745,cishest01,2016,SEA,Steve,Cishek,215,78,R,AL,4.0,6.0,62.0,0.0,0.0,0.0,25.0,192.0,44.0,20.0,8.0,21.0,76.0,2.0,4.0,4,0.0,258.0,40.0,21.0,1.0,0.0,2.0,4.16,0.0,64.0,2.8125,0.35555555555555557,1.015625,0.9846153846153847,0.033766233766233764,0.08704965920155794,0.2676056338028169,0.49019607843137253,0.18181818181818182,0.96,0.5474301202452388,0.7611169470886522,1.0180183555393565
