,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
158,bregmal01,2016,HOU,Alex,Bregman,180,72,R,AL,49.0,53.0,201.0,8.0,34.0,2.0,31.0,13.0,3.0,0.0,15.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,40.0,6.0,1.0,0.0,0.0,1.0,3.0,3b,['3b'],0.263681592039801,0.31336405529953915,29.0,0.47761194029850745,0.7909759955980467,0.3955223880597015,0.1702127659574468,0.25203252032520324,0.2556390977443609,0.03225806451612903,0.6436,0.7116058888375887
1393,uribeju01,2016,CLE,Juan,Uribe,245,72,R,AL,73.0,49.0,238.0,7.0,25.0,0.0,19.0,9.0,0.0,0.0,15.0,49.0,1.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,3b,['3b'],0.20588235294117646,0.25868725868725867,33.0,0.3319327731092437,0.5906200317965024,0.3088235294117647,0.14893617021276595,0.15447154471544716,0.18796992481203006,0.0,0.7768,0.6215962681972798
489,garcigr01,2016,SLN,Greg,Garcia,190,72,L,NL,99.0,59.0,214.0,3.0,17.0,1.0,33.0,11.0,0.0,1.0,38.0,50.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,26.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,3b,"['2b', '3b', 'ss']",0.2757009345794392,0.39299610894941633,45.0,0.3691588785046729,0.7621549874540892,0.41355140186915884,0.06382978723404255,0.2682926829268293,0.12781954887218044,0.016129032258064516,0.6904,0.6141953416618543
945,nunezed02,2016,SFN,Eduardo,Nunez,195,72,R,NL,50.0,49.0,182.0,4.0,20.0,13.0,24.0,9.0,3.0,4.0,14.0,30.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2692307692307692,0.32663316582914576,33.0,0.4175824175824176,0.7442155834115634,0.40384615384615385,0.0851063829787234,0.1951219512195122,0.15037593984962405,0.20967741935483872,0.5752,0.6005823377375399
513,gillaco01,2016,SFN,Conor,Gillaspie,195,73,L,NL,101.0,50.0,191.0,6.0,25.0,1.0,24.0,8.0,4.0,2.0,12.0,28.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2617801047120419,0.3073170731707317,32.0,0.4397905759162304,0.7471076490869621,0.39267015706806285,0.1276595744680851,0.1951219512195122,0.18796992481203006,0.016129032258064516,0.6076,0.5587189687581285
122,blancan01,2016,PHI,Andres,Blanco,195,70,B,NL,90.0,48.0,190.0,4.0,21.0,2.0,26.0,15.0,1.0,3.0,11.0,41.0,0.0,7.0,0.0,1.0,7.0,0.0,0.0,19.0,20.0,21.0,10.0,1.0,0.0,0.0,1.0,0.0,3b,"['1b', '2b', '3b', 'ss']",0.25263157894736843,0.3157894736842105,28.0,0.4052631578947368,0.7210526315789474,0.37894736842105264,0.0851063829787234,0.21138211382113822,0.15789473684210525,0.03225806451612903,0.604,0.5228155546138057
1428,wallabr01,2016,SDN,Brett,Wallace,250,74,L,NL,119.0,41.0,217.0,6.0,20.0,0.0,19.0,10.0,0.0,0.0,29.0,83.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,20.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,3.0,3b,"['1b', '3b']",0.1889400921658986,0.30859375,25.0,0.31797235023041476,0.6265661002304148,0.2834101382488479,0.1276595744680851,0.15447154471544716,0.15037593984962405,0.0,0.7012,0.5020011387341414
1369,torrero01,2016,NYA,Ronald,Torreyes,150,70,R,AL,72.0,40.0,155.0,1.0,12.0,2.0,20.0,7.0,4.0,1.0,10.0,20.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,14.0,34.0,15.0,0.0,0.0,2.0,2.0,4.0,3b,"['2b', '3b', 'ss']",0.25806451612903225,0.30538922155688625,28.0,0.3741935483870968,0.679582769943983,0.3870967741935484,0.02127659574468085,0.16260162601626016,0.09022556390977443,0.03225806451612903,0.478,0.33147322245382776
1464,wrighda03,2016,NYN,David,Wright,205,72,R,NL,37.0,31.0,137.0,7.0,14.0,3.0,18.0,8.0,0.0,2.0,26.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.22627737226277372,0.3496932515337423,16.0,0.43795620437956206,0.7876494559133044,0.3394160583941606,0.14893617021276595,0.14634146341463414,0.10526315789473684,0.04838709677419355,0.4132,0.32574371877251096
756,lasteto01,2016,CHN,Tommy,La Stella,180,71,L,NL,74.0,40.0,148.0,2.0,11.0,0.0,17.0,12.0,1.0,1.0,18.0,27.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2702702702702703,0.35714285714285715,25.0,0.40540540540540543,0.7625482625482626,0.40540540540540543,0.0425531914893617,0.13821138211382114,0.08270676691729323,0.0,0.4528,0.30286739055523915
