,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
3685,polloaj01,2016,ARI,A. J.,Pollock,12.0,10.0,41.0,2.0,4.0,4.0,9.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,cf,"['cf', 'of']",0.24390243902439024,0.32608695652173914,8.0,0.3902439024390244,0.7163308589607635,0.36585365853658536,0.0425531914893617,0.07317073170731707,0.03007518796992481,0.06451612903225806,0.1,0.0576168898735447
1544,fuentre01,2016,KCA,Reymond,Fuentes,13.0,13.0,41.0,0.0,5.0,0.0,2.0,1.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,12.0,1.0,of,['of'],0.3170731707317073,0.36363636363636365,12.0,0.34146341463414637,0.70509977827051,0.475609756097561,0.0,0.016260162601626018,0.03759398496240601,0.0,0.1,0.05294639036615931
4607,tapiara01,2016,COL,Raimel,Tapia,22.0,10.0,38.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,11.0,0.0,of,['of'],0.2631578947368421,0.2926829268292683,10.0,0.2631578947368421,0.5558408215661104,0.39473684210526316,0.0,0.032520325203252036,0.022556390977443608,0.04838709677419355,0.1,0.04982006550601523
5005,willima07,2016,NYA,Mason,Williams,12.0,8.0,27.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,11.0,1.0,of,['of'],0.2962962962962963,0.32142857142857145,7.0,0.3333333333333333,0.6547619047619048,0.4444444444444444,0.0,0.032520325203252036,0.015037593984962405,0.0,0.1,0.04920023636326589
1589,garcile02,2016,CHA,Leury,Garcia,18.0,11.0,48.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,cf,"['cf', 'of']",0.22916666666666666,0.26,8.0,0.3541666666666667,0.6141666666666667,0.34375,0.02127659574468085,0.04878048780487805,0.03759398496240601,0.03225806451612903,0.1,0.0483659133028094
1760,goodwbr01,2016,WAS,Brian,Goodwin,22.0,12.0,42.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,14.0,0.0,of,['of'],0.2857142857142857,0.3181818181818182,7.0,0.42857142857142855,0.7467532467532467,0.42857142857142855,0.0,0.008130081300813009,0.03759398496240601,0.0,0.1,0.047429549483464756
1495,francje02,2016,MIA,Jeff,Francoeur,26.0,14.0,50.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,4.0,15.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,0.0,17.0,78.0,3.0,of,"['lf', 'rf', 'of']",0.28,0.3333333333333333,11.0,0.36,0.6933333333333334,0.42000000000000004,0.0,0.032520325203252036,0.007518796992481203,0.0,0.1,0.04600391221957333
453,brantmi02,2016,CLE,Michael,Brantley,11.0,9.0,39.0,0.0,7.0,1.0,5.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,lf,"['lf', 'of']",0.23076923076923078,0.27906976744186046,7.0,0.28205128205128205,0.5611210494931425,0.3461538461538462,0.0,0.04065040650406504,0.05263157894736842,0.016129032258064516,0.1,0.045556486386334416
3429,paredji01,2016,TOR,Jimmy,Paredes,7.0,4.0,15.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,23.0,0.0,20.0,37.0,1.0,of,"['lf', 'rf', 'of']",0.26666666666666666,0.35294117647058826,2.0,0.5333333333333333,0.8862745098039215,0.4,0.02127659574468085,0.016260162601626018,0.015037593984962405,0.0,0.1,0.04525743523312693
2783,margoma01,2016,SDN,Manuel,Margot,10.0,9.0,37.0,0.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,0.0,of,['of'],0.24324324324324326,0.24324324324324326,4.0,0.40540540540540543,0.6486486486486487,0.3648648648648649,0.0,0.032520325203252036,0.022556390977443608,0.03225806451612903,0.1,0.04521996455616896
