,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1227,sanchca01,2016,CHA,Carlos,Sanchez,195,71,B,AL,53.0,32.0,154.0,4.0,21.0,0.0,15.0,9.0,1.0,1.0,5.0,42.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,33.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,2014-07-13,Venezuela,2b,['2b'],0.2077922077922078,0.2360248447204969,18.0,0.35714285714285715,0.5931677018633541,0.31168831168831174,0.0851063829787234,0.12195121951219512,0.15789473684210525,0.0,0.47440000000000004,0.3209983248445216
893,mondera02,2016,KCA,Raul,Mondesi,185,73,B,AL,47.0,25.0,135.0,2.0,13.0,9.0,16.0,1.0,3.0,1.0,6.0,48.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2016-07-26,USA,2b,['2b'],0.18518518518518517,0.23076923076923078,19.0,0.2814814814814815,0.5122507122507123,0.2777777777777778,0.0425531914893617,0.13008130081300814,0.09774436090225563,0.14516129032258066,0.406,0.2814870760498235
271,coghlch01,2016,OAK,Chris,Coghlan,195,72,L,AL,51.0,23.0,158.0,5.0,14.0,1.0,14.0,5.0,0.0,1.0,13.0,47.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,17.0,0.0,4.0,0.0,12.0,15.0,2.0,2009-05-08,USA,2b,"['2b', '3b', 'rf', 'of']",0.14556962025316456,0.21511627906976744,13.0,0.2721518987341772,0.48726817780394466,0.21835443037974683,0.10638297872340426,0.11382113821138211,0.10526315789473684,0.016129032258064516,0.4888,0.2737039204740331
280,colonch01,2016,KCA,Christian,Colon,185,70,R,AL,54.0,34.0,147.0,1.0,13.0,0.0,13.0,6.0,0.0,1.0,11.0,31.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,32.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,2014-07-01,P.R.,2b,"['2b', '3b']",0.23129251700680273,0.29375,27.0,0.2925170068027211,0.5862670068027211,0.34693877551020413,0.02127659574468085,0.10569105691056911,0.09774436090225563,0.0,0.44920000000000004,0.25678553444921526
680,infanom01,2016,KCA,Omar,Infante,195,71,R,AL,39.0,32.0,134.0,0.0,11.0,0.0,16.0,9.0,1.0,0.0,9.0,23.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-09-07,Venezuela,2b,['2b'],0.23880597014925373,0.2789115646258503,22.0,0.3208955223880597,0.5998070870139101,0.35820895522388063,0.0,0.13008130081300814,0.08270676691729323,0.0,0.4024000000000001,0.22976920203676288
1158,rivertj01,2016,NYN,T. J.,Rivera,205,73,R,NL,33.0,35.0,105.0,3.0,16.0,0.0,10.0,4.0,1.0,0.0,3.0,17.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-10,USA,2b,['2b'],0.3333333333333333,0.34513274336283184,27.0,0.47619047619047616,0.821323219553308,0.5,0.06382978723404255,0.08130081300813008,0.12030075187969924,0.0,0.29800000000000004,0.22809854293231785
1368,tomlike01,2016,SFN,Kelby,Tomlinson,180,75,R,NL,52.0,31.0,106.0,0.0,6.0,5.0,13.0,4.0,0.0,1.0,12.0,18.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,3.0,7.0,3.0,0.0,0.0,3.0,0.0,2015-08-03,USA,2b,['2b'],0.29245283018867924,0.3697478991596639,27.0,0.330188679245283,0.6999365784049469,0.4386792452830189,0.0,0.10569105691056911,0.045112781954887216,0.08064516129032258,0.30160000000000003,0.20211067882434144
1433,wendljo01,2016,OAK,Joey,Wendle,190,73,L,AL,28.0,25.0,96.0,1.0,11.0,2.0,11.0,1.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-31,USA,2b,['2b'],0.2604166666666667,0.2980769230769231,23.0,0.3020833333333333,0.6001602564102564,0.39062500000000006,0.02127659574468085,0.08943089430894309,0.08270676691729323,0.03225806451612903,0.2656,0.1636885685869595
922,muncyma01,2016,OAK,Max,Muncy,210,72,L,AL,51.0,21.0,113.0,2.0,8.0,0.0,13.0,2.0,0.0,0.0,20.0,24.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,1.0,0.0,4.0,0.0,17.0,21.0,3.0,2015-04-25,USA,2b,"['2b', 'rf', 'of']",0.18584070796460178,0.3082706766917293,17.0,0.25663716814159293,0.5649078448333222,0.2787610619469027,0.0425531914893617,0.10569105691056911,0.06015037593984962,0.0,0.3268,0.15920247827848805
1010,penara02,2016,SFN,Ramiro,Pena,200,71,B,NL,30.0,26.0,87.0,1.0,10.0,0.0,9.0,6.0,1.0,0.0,2.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2009-04-06,Mexico,2b,"['2b', '3b']",0.2988505747126437,0.32967032967032966,18.0,0.42528735632183906,0.7549576859921687,0.4482758620689656,0.02127659574468085,0.07317073170731707,0.07518796992481203,0.0,0.23320000000000002,0.14409688238275487
