,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
623,hechaad01,2016,MIA,Adeiny,Hechavarria,195,72,R,NL,155.0,120.0,508.0,3.0,38.0,1.0,52.0,17.0,6.0,0.0,33.0,73.0,7.0,1.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,2012-08-04,Cuba,ss,['ss'],0.23622047244094488,0.28256880733944956,94.0,0.3110236220472441,0.5935924293866937,0.35433070866141736,0.06382978723404255,0.42276422764227645,0.2857142857142857,0.016129032258064516,1.0,1.1427680415100865
1110,ramiral03,2016,SDN,Alexei,Ramirez,180,74,R,NL,128.0,101.0,421.0,5.0,41.0,6.0,33.0,19.0,2.0,9.0,17.0,56.0,3.0,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,3.0,3.0,1.0,2008-03-31,Cuba,ss,['ss'],0.23990498812351543,0.2747747747747748,75.0,0.33016627078384797,0.6049410455586228,0.3598574821852732,0.10638297872340426,0.2682926829268293,0.3082706766917293,0.0967741935483871,1.0,1.139578014075623
1023,perazjo01,2016,CIN,Jose,Peraza,180,72,R,NL,72.0,78.0,241.0,3.0,25.0,21.0,25.0,8.0,2.0,10.0,7.0,33.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,31.0,8.0,13.0,0.0,21.0,1.0,2015-08-10,Venezuela,ss,"['2b', 'ss', 'cf', 'of']",0.3236514522821577,0.3515625,65.0,0.4107883817427386,0.7623508817427386,0.48547717842323657,0.06382978723404255,0.2032520325203252,0.18796992481203006,0.3387096774193548,0.7876000000000001,1.0075283216821198
345,descada01,2016,COL,Daniel,Descalso,190,70,L,NL,99.0,66.0,250.0,8.0,38.0,3.0,38.0,12.0,2.0,0.0,34.0,56.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,16.0,14.0,4.0,31.0,7.0,0.0,0.0,7.0,4.0,2010-09-18,USA,ss,"['1b', '2b', 'ss']",0.264,0.3494809688581315,44.0,0.424,0.7734809688581314,0.396,0.1702127659574468,0.3089430894308943,0.2857142857142857,0.04838709677419355,0.82,0.9915909350589928
69,aybarer01,2016,ATL,Erick,Aybar,195,70,B,NL,97.0,81.0,335.0,2.0,26.0,3.0,27.0,14.0,2.0,5.0,20.0,59.0,5.0,6.0,3.0,4.0,14.0,0.0,0.0,0.0,1.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,2006-05-16,D.R.,ss,['ss'],0.2417910447761194,0.29315068493150687,63.0,0.31343283582089554,0.6065835207524024,0.36268656716417913,0.0425531914893617,0.21951219512195122,0.19548872180451127,0.04838709677419355,1.0,0.8686277723541969
22,ahmedni01,2016,ARI,Nick,Ahmed,195,74,R,NL,90.0,62.0,284.0,4.0,20.0,5.0,26.0,9.0,1.0,2.0,15.0,58.0,3.0,4.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,2014-06-29,USA,ss,['ss'],0.21830985915492956,0.2647058823529412,48.0,0.2992957746478873,0.5640016570008285,0.3274647887323944,0.0851063829787234,0.21138211382113822,0.15037593984962405,0.08064516129032258,0.9424,0.8057278619998838
1075,polanjo01,2016,MIN,Jorge,Polanco,200,71,B,AL,69.0,69.0,245.0,4.0,27.0,4.0,24.0,15.0,4.0,3.0,17.0,46.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,9.0,47.0,0.0,0.0,0.0,0.0,1.0,2014-06-26,D.R.,ss,['ss'],0.2816326530612245,0.332089552238806,46.0,0.42448979591836733,0.7565793481571733,0.42244897959183675,0.0851063829787234,0.1951219512195122,0.20300751879699247,0.06451612903225806,0.802,0.7781011712186969
323,darnach01,2016,ATL,Chase,d'Arnaud,205,74,R,NL,84.0,57.0,233.0,1.0,21.0,9.0,24.0,14.0,2.0,3.0,23.0,50.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,10.0,19.0,21.0,8.0,4.0,1.0,13.0,0.0,2011-06-24,USA,ss,"['2b', '3b', 'ss', 'of']",0.2446351931330472,0.31679389312977096,40.0,0.33476394849785407,0.6515578416276251,0.36695278969957085,0.02127659574468085,0.1951219512195122,0.15789473684210525,0.14516129032258066,0.7588,0.6726059076730277
341,dejesiv02,2016,CIN,Ivan,De Jesus,200,71,R,NL,104.0,56.0,221.0,1.0,20.0,3.0,21.0,10.0,0.0,1.0,17.0,51.0,1.0,2.0,2.0,1.0,6.0,0.0,0.0,12.0,22.0,14.0,30.0,1.0,0.0,0.0,1.0,0.0,2011-04-01,P.R.,ss,"['1b', '2b', '3b', 'ss']",0.25339366515837103,0.3112033195020747,45.0,0.31221719457013575,0.6234205140722104,0.38009049773755654,0.02127659574468085,0.17073170731707318,0.15037593984962405,0.04838709677419355,0.7156,0.5516287308599905
956,omallsh01,2016,SEA,Shawn,O'Malley,175,71,B,AL,89.0,48.0,210.0,2.0,17.0,6.0,24.0,9.0,2.0,2.0,18.0,59.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,12.0,7.0,36.0,15.0,5.0,19.0,34.0,1.0,2014-09-07,USA,ss,"['2b', 'ss', 'lf', 'rf', 'of']",0.22857142857142856,0.2987012987012987,35.0,0.319047619047619,0.6177489177489177,0.34285714285714286,0.0425531914893617,0.1951219512195122,0.12781954887218044,0.0967741935483871,0.676,0.544265194918931
50,arciaor01,2016,MIL,Orlando,Arcia,165,72,R,NL,55.0,44.0,201.0,4.0,17.0,8.0,21.0,10.0,3.0,0.0,15.0,47.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,2016-08-02,Venezuela,ss,['ss'],0.21890547263681592,0.27314814814814814,27.0,0.3582089552238806,0.6313571033720287,0.3283582089552239,0.0851063829787234,0.17073170731707318,0.12781954887218044,0.12903225806451613,0.6436,0.5412985611424147
7,adamecr01,2016,COL,Cristhian,Adames,185,72,B,NL,121.0,49.0,225.0,2.0,17.0,2.0,25.0,7.0,3.0,3.0,24.0,47.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,11.0,11.0,47.0,0.0,0.0,0.0,0.0,0.0,2014-07-29,D.R.,ss,"['2b', '3b', 'ss']",0.21777777777777776,0.30434782608695654,37.0,0.3022222222222222,0.6065700483091787,0.32666666666666666,0.0425531914893617,0.2032520325203252,0.12781954887218044,0.03225806451612903,0.7300000000000001,0.534761137967204
