,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1055,pillake01,2016,TOR,Kevin,Pillar,205,72,R,AL,146.0,146.0,548.0,7.0,53.0,14.0,59.0,35.0,2.0,6.0,24.0,90.0,0.0,6.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,146.0,0.0,cf,"['cf', 'of']",0.2664233576642336,0.3029259896729776,102.0,0.3759124087591241,0.6788383984321017,0.3996350364963504,0.14893617021276595,0.4796747967479675,0.39849624060150374,0.22580645161290322,1.0,1.6525486956714908
854,maybica01,2016,DET,Cameron,Maybin,215,75,R,AL,94.0,110.0,349.0,4.0,43.0,15.0,65.0,14.0,5.0,6.0,36.0,69.0,0.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,91.0,1.0,cf,"['cf', 'of']",0.3151862464183381,0.38303341902313626,87.0,0.4183381088825215,0.8013715279056577,0.47277936962750716,0.0851063829787234,0.5284552845528455,0.3233082706766917,0.24193548387096775,1.0,1.6515847917067354
184,buxtoby01,2016,MIN,Byron,Buxton,190,74,R,AL,92.0,67.0,298.0,10.0,38.0,10.0,44.0,19.0,6.0,2.0,23.0,118.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,cf,"['cf', 'of']",0.22483221476510068,0.28440366972477066,32.0,0.42953020134228187,0.7139338710670525,0.33724832214765105,0.2127659574468085,0.35772357723577236,0.2857142857142857,0.16129032258064516,0.9928,1.3449883193762615
166,broxtke01,2016,MIL,Keon,Broxton,195,75,R,NL,75.0,50.0,207.0,9.0,19.0,23.0,28.0,10.0,1.0,4.0,36.0,88.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,cf,"['cf', 'of']",0.24154589371980675,0.35390946502057613,30.0,0.42995169082125606,0.7838611558418322,0.36231884057971014,0.19148936170212766,0.22764227642276422,0.14285714285714285,0.3709677419354839,0.6652,0.8616171717983565
682,jacksau01,2016,CHA,Austin,Jackson,205,73,R,AL,54.0,46.0,181.0,0.0,18.0,2.0,24.0,12.0,2.0,1.0,17.0,39.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,cf,"['cf', 'of']",0.2541436464088398,0.31840796019900497,32.0,0.3425414364640884,0.6609493966630934,0.3812154696132597,0.0,0.1951219512195122,0.13533834586466165,0.03225806451612903,0.5716,0.4252325779216724
558,gosean01,2016,DET,Anthony,Gose,190,73,L,AL,30.0,19.0,91.0,2.0,7.0,0.0,11.0,2.0,2.0,1.0,9.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,cf,"['cf', 'of']",0.2087912087912088,0.2871287128712871,13.0,0.34065934065934067,0.6277880535306277,0.31318681318681324,0.0425531914893617,0.08943089430894309,0.05263157894736842,0.0,0.24760000000000001,0.12325589353608365
1363,tilsoch01,2016,CHA,Charlie,Tilson,195,71,L,AL,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,cf,[],0.5,0.5,1.0,0.5,1.0,0.75,0.0,0.0,0.0,0.0,0.1,0.07500000000000001
1205,ruggiju01,2016,NYN,Justin,Ruggiano,210,73,R,NL,8.0,7.0,20.0,2.0,6.0,0.0,4.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,cf,[],0.35,0.4090909090909091,5.0,0.65,1.059090909090909,0.525,0.0425531914893617,0.032520325203252036,0.045112781954887216,0.0,0.1,0.0645186298647501
1080,polloaj01,2016,ARI,A. J.,Pollock,195,73,R,NL,12.0,10.0,41.0,2.0,4.0,4.0,9.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,cf,"['cf', 'of']",0.24390243902439024,0.32608695652173914,8.0,0.3902439024390244,0.7163308589607635,0.36585365853658536,0.0425531914893617,0.07317073170731707,0.03007518796992481,0.06451612903225806,0.1,0.0576168898735447
493,garcile02,2016,CHA,Leury,Garcia,170,68,B,AL,18.0,11.0,48.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,cf,"['cf', 'of']",0.22916666666666666,0.26,8.0,0.3541666666666667,0.6141666666666667,0.34375,0.02127659574468085,0.04878048780487805,0.03759398496240601,0.03225806451612903,0.1,0.0483659133028094
1092,preslal01,2016,DET,Alex,Presley,195,70,L,AL,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,cf,[],0.2,0.2,1.0,0.2,0.4,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.030000000000000006
